epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,316.306,2.16811,1.65413,1.30163,0.73422,0.60217,0.62893,0.27806,2.656,1.73843,1.04041,0.00999342,0.00333114,0.00999342,0.00333114,0.00999342,0.00333114,0.00999342,0.00333114
2,595.418,2.11015,1.35503,1.21472,0.70897,0.55982,0.5983,0.25322,2.65615,1.7891,1.05874,0.0197955,0.0065985,0.0197955,0.0065985,0.0197955,0.0065985,0.0197955,0.0065985
3,860.484,2.18443,1.46887,1.24341,0.61301,0.51654,0.53361,0.21366,2.72988,2.15857,1.07045,0.0293996,0.00979985,0.0293996,0.00979985,0.0293996,0.00979985,0.0293996,0.00979985
4,1636.33,2.21008,1.48551,1.25565,0.71896,0.58541,0.61581,0.27043,2.6382,1.82116,1.04651,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2049.84,2.15655,1.39317,1.22531,0.7349,0.59277,0.63259,0.27621,2.6022,1.74681,1.04588,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2371.65,2.11977,1.34673,1.22217,0.75633,0.60203,0.64514,0.28957,2.57575,1.69238,1.03427,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2627.3,2.07598,1.28368,1.20988,0.76918,0.62607,0.66975,0.30163,2.54607,1.6396,1.02967,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2888.85,2.05368,1.23877,1.1967,0.77721,0.6317,0.67833,0.31889,2.51918,1.59457,1.01926,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3146.09,2.04394,1.22368,1.18412,0.78625,0.64495,0.69231,0.3284,2.49108,1.56315,1.01009,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3402.65,2.02011,1.19125,1.17451,0.79906,0.65899,0.70647,0.33493,2.47843,1.55364,1.00359,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3659.26,2.00906,1.16843,1.17003,0.78548,0.67004,0.70967,0.33955,2.44731,1.56557,0.99903,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4409.45,1.98344,1.14426,1.15877,0.79113,0.68255,0.71597,0.3457,2.43634,1.51644,0.99464,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4661.03,1.97182,1.13095,1.15636,0.79142,0.67905,0.71767,0.34527,2.43577,1.50217,0.99977,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4914.86,1.96584,1.12535,1.15134,0.8068,0.68728,0.72767,0.35984,2.41502,1.47104,0.98403,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,5171.05,1.94157,1.10084,1.1491,0.82059,0.68749,0.73106,0.3596,2.40844,1.47793,0.98341,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5455.76,1.93666,1.08375,1.14306,0.8048,0.69922,0.73474,0.37191,2.39236,1.43692,0.98179,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5711.77,1.92441,1.08175,1.13243,0.82089,0.69628,0.73878,0.36965,2.3914,1.43062,0.97686,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5973.75,1.91124,1.06109,1.12918,0.80945,0.70587,0.74106,0.37803,2.35885,1.42789,0.96986,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
