epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.652,1.75832,1.70542,1.39258,0.73841,0.62346,0.69673,0.33397,1.76362,1.23506,1.39179,0.000412879,0.000412879,0.000412879
2,48.1151,1.72688,1.24333,1.36721,0.71058,0.67202,0.7135,0.34809,1.79276,1.39319,1.39236,0.000821333,0.000821333,0.000821333
3,71.4537,1.72678,1.16385,1.36661,0.68192,0.56526,0.63431,0.30753,1.79928,1.35988,1.44491,0.00122154,0.00122154,0.00122154
4,94.9486,1.72644,1.17841,1.36588,0.72629,0.62814,0.69257,0.34042,1.77394,1.27361,1.38308,0.00121287,0.00121287,0.00121287
5,118.197,1.69969,1.0985,1.33144,0.80113,0.6946,0.76466,0.38479,1.72238,1.13462,1.34816,0.0012005,0.0012005,0.0012005
6,141.675,1.63968,1.04548,1.31919,0.80353,0.76959,0.82332,0.417,1.73297,0.96935,1.3439,0.00118812,0.00118812,0.00118812
7,164.736,1.63795,1.03018,1.30553,0.82625,0.71933,0.79855,0.4211,1.66251,0.96951,1.31627,0.00117575,0.00117575,0.00117575
8,187.643,1.61617,0.98643,1.29161,0.80786,0.77152,0.83852,0.44475,1.65394,0.93013,1.30538,0.00116337,0.00116337,0.00116337
9,210.652,1.5994,0.9474,1.27638,0.83598,0.76483,0.83683,0.44447,1.62557,0.89023,1.28618,0.001151,0.001151,0.001151
10,233.494,1.55635,0.91501,1.2598,0.83792,0.80987,0.8529,0.46545,1.62466,0.85832,1.29898,0.00113863,0.00113863,0.00113863
11,256.568,1.56252,0.92899,1.27028,0.81188,0.81919,0.86143,0.45973,1.632,0.87821,1.28956,0.00112625,0.00112625,0.00112625
12,279.484,1.52596,0.88603,1.24944,0.86727,0.83113,0.87792,0.47841,1.59641,0.84505,1.28303,0.00111388,0.00111388,0.00111388
13,302.478,1.51991,0.87278,1.23764,0.85675,0.8046,0.86575,0.46944,1.57846,0.82999,1.24478,0.0011015,0.0011015,0.0011015
14,325.166,1.50827,0.84963,1.23408,0.84677,0.79378,0.85153,0.45555,1.61723,0.82203,1.28149,0.00108913,0.00108913,0.00108913
15,348.202,1.5022,0.84177,1.22935,0.8111,0.816,0.86393,0.48079,1.61228,0.80942,1.28278,0.00107675,0.00107675,0.00107675
16,371.116,1.49944,0.8363,1.22332,0.82969,0.81786,0.87698,0.48299,1.57129,0.82152,1.2472,0.00106437,0.00106437,0.00106437
17,394.146,1.47113,0.82473,1.21067,0.85763,0.80998,0.86993,0.4923,1.53686,0.78802,1.2574,0.001052,0.001052,0.001052
18,417.096,1.44317,0.79216,1.20229,0.88359,0.80594,0.88312,0.488,1.61056,0.77861,1.28263,0.00103962,0.00103962,0.00103962
19,439.893,1.44528,0.78486,1.21731,0.87949,0.84283,0.89762,0.51466,1.5687,0.74095,1.24982,0.00102725,0.00102725,0.00102725
20,462.847,1.4465,0.78867,1.19743,0.8428,0.84118,0.88914,0.48874,1.59587,0.75308,1.27195,0.00101488,0.00101488,0.00101488
