epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.823,2.20354,1.66467,1.29405,0.62907,0.51665,0.52587,0.22545,2.71512,2.18476,1.08721,0.00047602,0.00047602,0.00047602
2,522.29,2.19705,1.50576,1.27908,0.76498,0.51365,0.58277,0.23711,2.71384,1.85929,1.08842,0.00091464,0.00091464,0.00091464
3,782.032,2.17795,1.47657,1.27108,0.7059,0.55887,0.58899,0.24086,2.72938,1.79586,1.09532,0.00131553,0.00131553,0.00131553
4,1042.44,2.13899,1.40453,1.24645,0.70795,0.59732,0.62087,0.27361,2.59488,1.73452,1.04965,0.00125923,0.00125923,0.00125923
5,1413.59,2.10361,1.34769,1.21981,0.74911,0.60247,0.65655,0.30086,2.53843,1.66946,1.02997,0.00120265,0.00120265,0.00120265
6,1669.27,2.07331,1.30794,1.21611,0.77776,0.62472,0.67791,0.30604,2.52791,1.60855,1.02788,0.00114606,0.00114606,0.00114606
7,1920.26,2.03442,1.25723,1.20605,0.76761,0.6307,0.67301,0.30235,2.5169,1.62739,1.02663,0.00108947,0.00108947,0.00108947
8,2173.39,2.01645,1.21571,1.19053,0.7901,0.65566,0.7033,0.33971,2.46435,1.56125,1.01217,0.00103288,0.00103288,0.00103288
9,2425.9,2.00541,1.18325,1.18056,0.78912,0.66264,0.70479,0.33595,2.4506,1.54544,1.00587,0.000976293,0.000976293,0.000976293
10,2683.76,1.97961,1.15979,1.16831,0.79791,0.66384,0.71071,0.34465,2.45117,1.5181,0.99928,0.000919704,0.000919704,0.000919704
11,2937.11,1.9787,1.14575,1.1697,0.78595,0.68392,0.72011,0.35155,2.41167,1.49553,0.99486,0.000863116,0.000863116,0.000863116
12,3199.82,1.9484,1.11685,1.15385,0.79398,0.69249,0.72649,0.35357,2.41554,1.51321,0.99673,0.000806528,0.000806528,0.000806528
13,3453.7,1.93127,1.09906,1.14823,0.80282,0.69981,0.73416,0.35934,2.39779,1.43177,0.99585,0.000749939,0.000749939,0.000749939
14,3741.13,1.91909,1.08745,1.14359,0.81435,0.69996,0.7382,0.36916,2.3799,1.42391,0.9846,0.000693351,0.000693351,0.000693351
15,4000.55,1.89973,1.06389,1.14208,0.82207,0.6982,0.73901,0.36921,2.38293,1.42601,0.98391,0.000636762,0.000636762,0.000636762
16,4253.11,1.87537,1.03252,1.15762,0.81099,0.70111,0.73883,0.37731,2.38921,1.42994,0.98278,0.000580174,0.000580174,0.000580174
17,4494.89,1.85347,1.01189,1.15517,0.81906,0.69591,0.73815,0.37542,2.36951,1.40207,0.97701,0.000523586,0.000523586,0.000523586
18,4740.93,1.83844,0.99056,1.14749,0.82194,0.70718,0.74934,0.38241,2.35556,1.39366,0.97512,0.000466997,0.000466997,0.000466997
19,4987.76,1.82935,0.97045,1.14251,0.83189,0.7038,0.74924,0.38142,2.3553,1.3925,0.97452,0.000410409,0.000410409,0.000410409
20,5233.34,1.81001,0.95111,1.13115,0.8296,0.71398,0.75738,0.39391,2.33878,1.37362,0.96866,0.00035382,0.00035382,0.00035382
21,5482.9,1.79772,0.92991,1.12723,0.83394,0.71299,0.75567,0.39367,2.32422,1.35083,0.96681,0.000297232,0.000297232,0.000297232
22,5723.11,1.77975,0.91463,1.11764,0.83019,0.72092,0.75939,0.39749,2.32549,1.34923,0.96318,0.000240644,0.000240644,0.000240644
23,5976.66,1.75536,0.89378,1.1123,0.83049,0.72332,0.76121,0.40248,2.30964,1.32855,0.96199,0.000184055,0.000184055,0.000184055
24,6220.25,1.74894,0.88495,1.10887,0.83235,0.72625,0.76349,0.40539,2.30617,1.32222,0.96146,0.000127467,0.000127467,0.000127467
25,6466.89,1.73216,0.87041,1.1021,0.82962,0.73021,0.76564,0.40801,2.30268,1.318,0.96047,7.08784e-05,7.08784e-05,7.08784e-05
